total_bet,total_win,balance,roi,max_drawdown,boost_periods,hit_count,hit_rate,lookback,boost_threshold,boost_multiplier,reward_risk_ratio
8757.0,11825.199999999993,3068.2000000000016,35.03711316660959,759.5999999999999,69,69,34.5,6,0.4,1.4,0.04606509751066211
8757.0,11825.199999999993,3068.2000000000016,35.03711316660959,759.5999999999999,69,69,34.5,6,0.42,1.4,0.04606509751066211
8757.0,11825.199999999993,3068.2000000000016,35.03711316660959,759.5999999999999,69,69,34.5,6,0.45,1.4,0.04606509751066211
8757.0,11825.199999999993,3068.2000000000016,35.03711316660959,759.5999999999999,69,69,34.5,6,0.38,1.4,0.04606509751066211
8757.0,11825.199999999993,3068.2000000000016,35.03711316660959,759.5999999999999,69,69,34.5,6,0.35,1.4,0.04606509751066211
8757.0,11825.199999999993,3068.2000000000016,35.03711316660959,759.5999999999999,69,69,34.5,6,0.5,1.4,0.04606509751066211
9495.0,12807.5,3312.5,34.88678251711427,715.0,112,69,34.5,8,0.35,1.5,0.04872455658814842
8628.0,11637.199999999995,3009.200000000001,34.877144181733904,750.2,90,69,34.5,10,0.38,1.2,0.04642857319187154
8628.0,11637.199999999995,3009.200000000001,34.877144181733904,750.2,90,69,34.5,10,0.35,1.2,0.04642857319187154
8628.0,11637.199999999995,3009.200000000001,34.877144181733904,750.2,90,69,34.5,10,0.4,1.2,0.04642857319187154
8685.0,11703.0,3018.0,34.74956822107081,813.0,42,69,34.5,12,0.5,1.5,0.04268988724947274
8685.0,11703.0,3018.0,34.74956822107081,813.0,42,69,34.5,12,0.42,1.5,0.04268988724947274
8685.0,11703.0,3018.0,34.74956822107081,813.0,42,69,34.5,12,0.45,1.5,0.04268988724947274
8880.0,11961.5,3081.5,34.70157657657658,757.5,69,69,34.5,6,0.35,1.5,0.045750265756857714
8880.0,11961.5,3081.5,34.70157657657658,757.5,69,69,34.5,6,0.38,1.5,0.045750265756857714
8880.0,11961.5,3081.5,34.70157657657658,757.5,69,69,34.5,6,0.42,1.5,0.045750265756857714
8880.0,11961.5,3081.5,34.70157657657658,757.5,69,69,34.5,6,0.4,1.5,0.045750265756857714
8880.0,11961.5,3081.5,34.70157657657658,757.5,69,69,34.5,6,0.5,1.5,0.045750265756857714
8880.0,11961.5,3081.5,34.70157657657658,757.5,69,69,34.5,6,0.45,1.5,0.045750265756857714
8718.75,11726.5,3007.75,34.49749103942653,745.75,90,69,34.5,10,0.38,1.25,0.04619684103036696
8718.75,11726.5,3007.75,34.49749103942653,745.75,90,69,34.5,10,0.4,1.25,0.04619684103036696
8718.75,11726.5,3007.75,34.49749103942653,745.75,90,69,34.5,10,0.35,1.25,0.04619684103036696
8809.5,11815.800000000005,3006.299999999999,34.12565979908052,741.3,90,69,34.5,10,0.38,1.3,0.0459728678419514
8809.5,11815.800000000005,3006.299999999999,34.12565979908052,741.3,90,69,34.5,10,0.35,1.3,0.0459728678419514
8809.5,11815.800000000005,3006.299999999999,34.12565979908052,741.3,90,69,34.5,10,0.4,1.3,0.0459728678419514
8991.0,11994.399999999994,3003.4000000000015,33.40451562673786,732.4,90,69,34.5,10,0.38,1.4,0.04554747153904808
8991.0,11994.399999999994,3003.4000000000015,33.40451562673786,732.4,90,69,34.5,10,0.35,1.4,0.04554747153904808
8991.0,11994.399999999994,3003.4000000000015,33.40451562673786,732.4,90,69,34.5,10,0.4,1.4,0.04554747153904808
9172.5,12173.0,3000.5,32.71191060234396,723.5,90,69,34.5,10,0.38,1.5,0.045151015324146254
9172.5,12173.0,3000.5,32.71191060234396,723.5,90,69,34.5,10,0.4,1.5,0.045151015324146254
9172.5,12173.0,3000.5,32.71191060234396,723.5,90,69,34.5,10,0.35,1.5,0.045151015324146254
